steps,eval,train
100,1.464206219,2.3432
200,1.29071784,1.4307
300,1.244494677,1.3923
400,1.191334248,1.2719
500,0.9961959124,1.1292
600,0.7351303697,0.9344
700,0.6376619339,0.7481
800,0.4843298793,0.6194
900,0.4042782784,0.4363
1000,0.3693236113,0.416
1100,0.3519756794,0.3295
1200,0.3343114853,0.3416
1300,0.3273898661,0.3755
1400,0.3126789629,0.3064
1500,0.299841553,0.3295
1600,0.2964608073,0.2928
1700,0.2876538336,0.3069
1800,0.2849883139,0.3048
1900,0.281707257,0.2916
2000,0.2590666711,0.2979
2100,0.2540070713,0.2846
2200,0.3389109969,0.2568
2300,0.2368720025,0.277
2400,0.2237896621,0.2385
2500,0.2160496116,0.2477
2600,0.2138983905,0.2271
2700,0.2024470717,0.2457
2800,0.20851475,0.2037
2900,0.1978207082,0.1865
3000,0.1928658932,0.2354
3100,0.1864747703,0.2001
3200,0.1832354367,0.2396
3300,0.1790380031,0.2197
3400,0.1766795963,0.1813
3500,0.1969881505,0.2109
3600,0.1658265144,0.1956
3700,0.1628876776,0.182
3800,0.1609946191,0.1916
3900,0.1556501538,0.1777
4000,0.1492126286,0.2005
4100,0.1529964805,0.1553
4200,0.1447779983,0.1631
4300,0.1444890797,0.1591
4400,0.1427431107,0.1499
4500,0.1418165267,0.1487
4600,0.1380892545,0.1638
4700,0.1390287578,0.1745
4800,0.1366284192,0.1551
4900,0.1324094832,0.1408
5000,0.1343306005,0.1254